length,min_sample,min_rate,bet_count,win,loss,hit_rate,pass_count
2,30,55.0,21199,12253,8946,57.7999,1283
2,30,56.0,16883,9836,7047,58.2598,5599
2,30,57.0,11299,6646,4653,58.8194,11183
2,30,58.0,9525,5632,3893,59.1286,12957
2,30,59.0,8066,4767,3299,59.0999,14416
2,30,60.0,4096,2416,1680,58.9844,18386
2,50,55.0,21126,12214,8912,57.815,1276
2,50,56.0,16814,9799,7015,58.2788,5588
2,50,57.0,11239,6615,4624,58.8575,11163
2,50,58.0,9476,5607,3869,59.1705,12926
2,50,59.0,8028,4747,3281,59.1305,14374
2,50,60.0,4062,2398,1664,59.035,18340
2,100,55.0,20999,12135,8864,57.7885,1203
2,100,56.0,16695,9723,6972,58.239,5507
2,100,57.0,11127,6543,4584,58.8029,11075
2,100,58.0,9377,5545,3832,59.1341,12825
2,100,59.0,7947,4694,3253,59.0663,14255
2,100,60.0,3995,2355,1640,58.9487,18207
2,200,55.0,20711,11972,8739,57.805,1091
2,200,56.0,16430,9571,6859,58.2532,5372
2,200,57.0,10898,6414,4484,58.8548,10904
2,200,58.0,9200,5443,3757,59.163,12602
2,200,59.0,7805,4614,3191,59.116,13997
2,200,60.0,3884,2293,1591,59.0371,17918
2,300,55.0,20359,11761,8598,57.7681,1043
2,300,56.0,16107,9381,6726,58.2418,5295
2,300,57.0,10621,6258,4363,58.921,10781
2,300,58.0,8992,5328,3664,59.2527,12410
2,300,59.0,7688,4551,3137,59.1961,13714
2,300,60.0,3795,2248,1547,59.2358,17607
3,30,55.0,19343,11223,8120,58.021,2552
3,30,56.0,16218,9447,6771,58.2501,5677
3,30,57.0,12606,7388,5218,58.607,9289
3,30,58.0,9506,5598,3908,58.8891,12389
3,30,59.0,7447,4419,3028,59.3393,14448
3,30,60.0,4949,2921,2028,59.022,16946
3,50,55.0,19216,11151,8065,58.0298,2519
3,50,56.0,16098,9378,6720,58.2557,5637
3,50,57.0,12497,7326,5171,58.6221,9238
3,50,58.0,9406,5541,3865,58.9092,12329
3,50,59.0,7360,4372,2988,59.4022,14375
3,50,60.0,4872,2879,1993,59.0928,16863
3,100,55.0,18894,10966,7928,58.0396,2441
3,100,56.0,15801,9209,6592,58.2811,5534
3,100,57.0,12231,7174,5057,58.6542,9104
3,100,58.0,9180,5415,3765,58.9869,12155
3,100,59.0,7182,4272,2910,59.482,14153
3,100,60.0,4713,2786,1927,59.1131,16622
3,200,55.0,18221,10578,7643,58.0539,2314
3,200,56.0,15193,8863,6330,58.3361,5342
3,200,57.0,11723,6887,4836,58.7478,8812
3,200,58.0,8776,5192,3584,59.1613,11759
3,200,59.0,6855,4090,2765,59.6645,13680
3,200,60.0,4435,2632,1803,59.3461,16100
3,300,55.0,17451,10114,7337,57.9566,2284
3,300,56.0,14484,8432,6052,58.216,5251
3,300,57.0,11034,6467,4567,58.6098,8701
3,300,58.0,8191,4838,3353,59.0648,11544
3,300,59.0,6419,3823,2596,59.5576,13316
3,300,60.0,4194,2483,1711,59.2036,15541
4,30,55.0,17762,10298,7464,57.9777,3427
4,30,56.0,15724,9180,6544,58.3821,5465
4,30,57.0,13000,7599,5401,58.4538,8189
4,30,58.0,9501,5549,3952,58.4044,11688
4,30,59.0,6304,3691,2613,58.5501,14885
4,30,60.0,4216,2507,1709,59.4639,16973
4,50,55.0,17545,10177,7368,58.0051,3324
4,50,56.0,15513,9062,6451,58.4155,5356
4,50,57.0,12798,7485,5313,58.4857,8071
4,50,58.0,9310,5445,3865,58.4855,11559
4,50,59.0,6131,3598,2533,58.6854,14738
4,50,60.0,4057,2424,1633,59.7486,16812
4,100,55.0,16962,9838,7124,58.0002,3107
4,100,56.0,14987,8758,6229,58.4373,5082
4,100,57.0,12332,7217,5115,58.5225,7737
4,100,58.0,8891,5203,3688,58.5199,11178
4,100,59.0,5750,3378,2372,58.7478,14319
4,100,60.0,3725,2236,1489,60.0268,16344
4,200,55.0,15623,9040,6583,57.8634,2846
4,200,56.0,13734,8006,5728,58.2933,4735
4,200,57.0,11178,6530,4648,58.4183,7291
4,200,58.0,7885,4604,3281,58.3893,10584
4,200,59.0,4912,2876,2036,58.5505,13557
4,200,60.0,3068,1837,1231,59.8761,15401
4,300,55.0,14202,8218,5984,57.8651,2667
4,300,56.0,12390,7227,5163,58.3293,4479
4,300,57.0,9967,5831,4136,58.5031,6902
4,300,58.0,6915,4048,2867,58.5394,9954
4,300,59.0,4322,2547,1775,58.9311,12547
4,300,60.0,2677,1612,1065,60.2167,14192
5,30,55.0,16561,9648,6913,58.2574,3682
5,30,56.0,14732,8602,6130,58.3899,5511
5,30,57.0,11902,6974,4928,58.5952,8341
5,30,58.0,9627,5664,3963,58.8345,10616
5,30,59.0,7372,4333,3039,58.7765,12871
5,30,60.0,5863,3482,2381,59.3894,14380
5,50,55.0,16074,9358,6716,58.2182,3529
5,50,56.0,14283,8333,5950,58.3421,5320
5,50,57.0,11503,6735,4768,58.5499,8100
5,50,58.0,9272,5450,3822,58.7791,10331
5,50,59.0,7058,4142,2916,58.6852,12545
5,50,60.0,5574,3304,2270,59.2752,14029
5,100,55.0,14809,8604,6205,58.0998,3194
5,100,56.0,13082,7613,5469,58.1945,4921
5,100,57.0,10388,6072,4316,58.4521,7615
5,100,58.0,8249,4844,3405,58.7223,9754
5,100,59.0,6155,3610,2545,58.6515,11848
5,100,60.0,4772,2832,1940,59.3462,13231
5,200,55.0,12329,7172,5157,58.1718,2474
5,200,56.0,10844,6308,4536,58.1704,3959
5,200,57.0,8376,4890,3486,58.3811,6427
5,200,58.0,6467,3792,2675,58.6362,8336
5,200,59.0,4640,2718,1922,58.5776,10163
5,200,60.0,3500,2075,1425,59.2857,11303
5,300,55.0,9816,5701,4115,58.0786,1846
5,300,56.0,8675,5032,3643,58.0058,2987
5,300,57.0,6453,3745,2708,58.035,5209
5,300,58.0,4708,2743,1965,58.2625,6954
5,300,59.0,3129,1813,1316,57.9418,8533
5,300,60.0,2213,1299,914,58.6986,9449
6,30,55.0,14369,8365,6004,58.2156,4448
6,30,56.0,13264,7723,5541,58.2253,5553
6,30,57.0,11606,6723,4883,57.9269,7211
6,30,58.0,9496,5511,3985,58.035,9321
6,30,59.0,7320,4266,3054,58.2787,11497
6,30,60.0,5926,3441,2485,58.0661,12891
6,50,55.0,13385,7822,5563,58.4386,4152
6,50,56.0,12356,7218,5138,58.417,5181
6,50,57.0,10786,6269,4517,58.1216,6751
6,50,58.0,8748,5096,3652,58.2533,8789
6,50,59.0,6643,3887,2756,58.5127,10894
6,50,60.0,5302,3093,2209,58.3365,12235
6,100,55.0,10942,6390,4552,58.3988,3396
6,100,56.0,10057,5869,4188,58.3574,4281
6,100,57.0,8704,5055,3649,58.0767,5634
6,100,58.0,6915,4028,2887,58.2502,7423
6,100,59.0,5072,2965,2107,58.4582,9266
6,100,60.0,3924,2286,1638,58.2569,10414
6,200,55.0,6512,3805,2707,58.4306,1835
6,200,56.0,5936,3460,2476,58.2884,2411
6,200,57.0,4972,2880,2092,57.9244,3375
6,200,58.0,3705,2166,1539,58.4615,4642
6,200,59.0,2352,1373,979,58.3759,5995
6,200,60.0,1639,948,691,57.8401,6708
6,300,55.0,3039,1795,1244,59.0655,893
6,300,56.0,2814,1664,1150,59.1329,1118
6,300,57.0,2388,1399,989,58.5846,1544
6,300,58.0,1627,960,667,59.0043,2305
6,300,59.0,835,500,335,59.8802,3097
6,300,60.0,605,359,246,59.3388,3327
7,30,55.0,12114,7022,5092,57.966,4318
7,30,56.0,10889,6324,4565,58.077,5543
7,30,57.0,9561,5564,3997,58.1947,6871
7,30,58.0,8322,4851,3471,58.2913,8110
7,30,59.0,7003,4080,2923,58.2607,9429
7,30,60.0,5966,3479,2487,58.3138,10466
7,50,55.0,10332,5982,4350,57.8978,3557
7,50,56.0,9232,5349,3883,57.9398,4657
7,50,57.0,8028,4662,3366,58.0717,5861
7,50,58.0,6930,4035,2895,58.2251,6959
7,50,59.0,5754,3350,2404,58.2204,8135
7,50,60.0,4822,2813,2009,58.3368,9067
7,100,55.0,6122,3564,2558,58.2163,1906
7,100,56.0,5425,3163,2262,58.3041,2603
7,100,57.0,4598,2672,1926,58.1122,3430
7,100,58.0,3761,2187,1574,58.1494,4267
7,100,59.0,2901,1694,1207,58.3937,5127
7,100,60.0,2269,1327,942,58.4839,5759
7,200,55.0,1181,681,500,57.663,310
7,200,56.0,999,573,426,57.3574,492
7,200,57.0,831,480,351,57.7617,660
7,200,58.0,593,339,254,57.1669,898
7,200,59.0,379,218,161,57.5198,1112
7,200,60.0,271,160,111,59.0406,1220
7,300,55.0,99,54,45,54.5455,0
7,300,56.0,81,43,38,53.0864,18
7,300,57.0,34,15,19,44.1176,65
7,300,58.0,6,3,3,50.0,93
7,300,59.0,0,0,0,0.0,99
7,300,60.0,0,0,0,0.0,99
8,30,55.0,8870,5088,3782,57.3619,3341
8,30,56.0,8060,4626,3434,57.3945,4151
