scope,tableName,length,pattern,sample,next_B,next_P,B_rate,P_rate,best_side,best_rate
global,ALL,2,BB,6720,3848,2872,57.2619,42.7381,B,57.2619
global,ALL,2,PP,6388,2820,3568,44.1453,55.8547,P,55.8547
global,ALL,2,BP,4750,1946,2804,40.9684,59.0316,P,59.0316
global,ALL,2,PB,4744,2838,1906,59.8229,40.1771,B,59.8229
global,ALL,3,BBB,3784,2161,1623,57.1089,42.8911,B,57.1089
global,ALL,3,PPP,3502,1564,1938,44.6602,55.3398,P,55.3398
global,ALL,3,BBP,2805,1185,1620,42.246,57.754,P,57.754
global,ALL,3,PBB,2786,1608,1178,57.7172,42.2828,B,57.7172
global,ALL,3,PPB,2755,1647,1108,59.7822,40.2178,B,59.7822
global,ALL,3,BPP,2750,1191,1559,43.3091,56.6909,P,56.6909
global,ALL,3,BPB,1896,1139,757,60.0738,39.9262,B,60.0738
global,ALL,3,PBP,1857,722,1135,38.8799,61.1201,P,61.1201
global,ALL,4,BBBB,2124,1219,905,57.3917,42.6083,B,57.3917
global,ALL,4,PPPP,1898,854,1044,44.9947,55.0053,P,55.0053
global,ALL,4,PPBB,1613,933,680,57.8425,42.1575,B,57.8425
global,ALL,4,BBPP,1587,661,926,41.6509,58.3491,P,58.3491
global,ALL,4,BBBP,1583,663,920,41.8825,58.1175,P,58.1175
global,ALL,4,PBBB,1581,896,685,56.673,43.327,B,56.673
global,ALL,4,BPPP,1533,683,850,44.5532,55.4468,P,55.4468
global,ALL,4,PPPB,1527,905,622,59.2665,40.7335,B,59.2665
global,ALL,4,BPPB,1164,704,460,60.4811,39.5189,B,60.4811
global,ALL,4,BBPB,1152,675,477,58.5938,41.4062,B,58.5938
global,ALL,4,PBBP,1151,494,657,42.9192,57.0808,P,57.0808
global,ALL,4,BPBB,1121,643,478,57.3595,42.6405,B,57.3595
global,ALL,4,PBPP,1114,512,602,45.9605,54.0395,P,54.0395
global,ALL,4,PPBP,1082,419,663,38.7246,61.2754,P,61.2754
global,ALL,4,BPBP,734,282,452,38.4196,61.5804,P,61.5804
global,ALL,4,PBPB,705,434,271,61.5603,38.4397,B,61.5603
global,ALL,5,BBBBB,1202,702,500,58.4027,41.5973,B,58.4027
global,ALL,5,PPPPP,1020,470,550,46.0784,53.9216,P,53.9216
global,ALL,5,PPBBB,920,514,406,55.8696,44.1304,B,55.8696
global,ALL,5,BBPPP,908,386,522,42.511,57.489,P,57.489
