tableName,total,B,P,T,B_rate_all,P_rate_all,T_rate_all,B_rate_no_tie,P_rate_no_tie
RB01,2162,999,938,225,46.2072,43.3858,10.407,51.5746,48.4254
RB02,1771,787,827,157,44.4382,46.6968,8.865,48.7608,51.2392
RB03,2179,1054,925,200,48.3708,42.4507,9.1785,53.2592,46.7408
RB04,2191,1022,964,205,46.6454,43.9982,9.3565,51.4602,48.5398
RB05,2178,993,981,204,45.5923,45.0413,9.3664,50.304,49.696
RB06,2466,1141,1096,229,46.2693,44.4444,9.2863,51.0058,48.9942
RB07,2453,1105,1114,234,45.0469,45.4138,9.5393,49.7972,50.2028
S01,1774,814,780,180,45.885,43.9684,10.1466,51.0665,48.9335
S02,1720,787,769,164,45.7558,44.7093,9.5349,50.5784,49.4216
S03,1725,758,807,160,43.942,46.7826,9.2754,48.4345,51.5655
S05,1728,772,789,167,44.6759,45.6597,9.6644,49.4555,50.5445
S06,1805,859,781,165,47.59,43.2687,9.1413,52.378,47.622
S07,1856,843,834,179,45.4203,44.9353,9.6444,50.2683,49.7317
