tableName,total,B,P,T,B_rate_all,P_rate_all,T_rate_all,B_rate_no_tie,P_rate_no_tie
RB01,2420,1126,1045,249,46.5289,43.1818,10.2893,51.8655,48.1345
RB02,2710,1168,1057,485,43.0996,39.0037,17.8967,52.4944,47.5056
RB03,2759,1308,1193,258,47.4085,43.2403,9.3512,52.2991,47.7009
RB04,2360,1104,1040,216,46.7797,44.0678,9.1525,51.4925,48.5075
RB05,2290,1042,1028,220,45.5022,44.8908,9.607,50.3382,49.6618
RB06,2998,1384,1333,281,46.1641,44.463,9.3729,50.9385,49.0615
RB07,2892,1311,1306,275,45.332,45.1591,9.509,50.0955,49.9045
S01,2978,1379,1308,291,46.3062,43.9221,9.7717,51.3212,48.6788
S02,2801,1273,1248,280,45.4481,44.5555,9.9964,50.4958,49.5042
S03,2743,1215,1285,243,44.2946,46.8465,8.8589,48.6,51.4
S05,2655,1189,1224,242,44.7834,46.1017,9.1149,49.2748,50.7252
S06,2745,1275,1200,270,46.4481,43.7158,9.8361,51.5152,48.4848
S07,2726,1240,1209,277,45.4879,44.3507,10.1614,50.6329,49.3671
