tableName,total,B,P,T,B_rate_all,P_rate_all,T_rate_all,B_rate_no_tie,P_rate_no_tie,shoe_count
RB01,3,0,2,1,0.0,66.6667,33.3333,0.0,100.0,1
RB02,2,0,1,1,0.0,50.0,50.0,0.0,100.0,1
RB03,2,0,2,0,0.0,100.0,0.0,0.0,100.0,1
RB04,3,1,2,0,33.3333,66.6667,0.0,33.3333,66.6667,1
RB05,2,2,0,0,100.0,0.0,0.0,100.0,0.0,1
RB06,3,1,2,0,33.3333,66.6667,0.0,33.3333,66.6667,1
RB07,3,3,0,0,100.0,0.0,0.0,100.0,0.0,1
S01,3,0,3,0,0.0,100.0,0.0,0.0,100.0,1
S02,3,2,1,0,66.6667,33.3333,0.0,66.6667,33.3333,1
S03,3,2,1,0,66.6667,33.3333,0.0,66.6667,33.3333,1
S05,4,2,2,0,50.0,50.0,0.0,50.0,50.0,1
S06,3,2,1,0,66.6667,33.3333,0.0,66.6667,33.3333,1
S07,3,3,0,0,100.0,0.0,0.0,100.0,0.0,1
